#FB samp H_DM H_W H_SNR DM W SNR SNR_0 F1 F2 F3 index utc MEANf1 MEANf2 MEANf3 MEANr STDf1 STDf2 STDf3 STDr SN_zap n_zap Mod_ind Mod_indT
130 397327 750.528 5.0 10.6765 768.205 64 18.0374832153 8.93700218201 60.3444933891 16.7247280478 23.6146047711 9468.5379599 2016-08-16-21:23:51 135.316 137.998 131.047 128.534 29.144 28.4079 25.5753 21.307 10.8284683228 10 2.41904 1.72844
167 398614 516.744 3.0 9.02916 513.86175 16 9.89784431458 5.60128307343 68.9425468445 10.3723086417 14.4284531474 9468.53853313 2016-08-16-21:23:51 129.966 134.142 129.95 128.216 33.5862 26.5722 24.5258 21.2295 4.63758993149 9 2.23785 1.69521
178 398986 315.313 3.0 9.86205 319.137 16 10.8346567154 2.98600172997 39.4887894392 20.0259938836 42.034009099 9468.53869882 2016-08-16-21:23:51 145.988 137.63 133.304 129.355 33.9325 26.8191 25.2114 21.5168 5.8820848465 10 2.1447 1.53907
88 395746 1015.5 5.0 9.78115 1009.86875 64 21.1176509857 1.61467111111 44.8665469885 40.3155267239 13.2192954421 9468.53725571 2016-08-16-21:23:51 134.269 134.002 127.406 127.82 27.3412 26.1759 22.8133 21.3576 17.3250656128 4 2.70215 1.80378
182 399018 172.192 4.0 10.853 176.53 32 10.9808711274 8.0175538569 43.1735545397 31.0587853193 31.7131817341 9468.53871308 2016-08-16-21:23:51 157.867 140.621 133.538 128.64 33.5273 28.172 25.6451 21.6925 9.68117358698 8 2.09015 1.54855
305 399017 231.058 3.0 9.43 236.704 16 12.1553812027 4.56607532501 37.0654672384 9.71597731113 35.3766858578 9468.53871262 2016-08-16-21:23:51 129.956 130.311 127.581 125.446 31.8029 23.592 24.5022 21.3761 7.07523536682 7 2.02525 1.46458
347 399807 56.0194 3.0 10.4588 57.592975 16 11.8625736237 10.2284698486 16.3261115551 21.4909121394 60.9508156776 9468.5390645 2016-08-16-21:23:51 127.829 128.016 128.093 125.996 26.4364 25.1747 24.8522 21.233 8.79271697998 8 2.03477 1.73092
347 399771 148.026 3.0 10.1965 149.95425 16 14.8690624237 10.0667743683 21.4562281966 15.2327880263 53.4705817699 9468.53904846 2016-08-16-21:23:51 128.264 129.543 127.276 125.838 25.7581 25.4978 24.78 21.1548 9.77843856812 7 1.9322 1.51832
116 402802 315.313 5.0 9.02463 313.5285 32 11.0064289763 5.69939761555 51.0073423386 38.2266521454 11.7628544569 9468.54039848 2016-08-16-21:23:51 136.315 138.202 130.338 128.918 26.4004 25.2185 20.9664 21.2528 6.62285597126 6 3.54446 1.79298
146 403823 148.026 5.0 9.34345 145.232375 40 8.73948576722 6.35707088933 34.8235726357 46.5638279915 26.1869579554 9468.54085324 2016-08-16-21:23:51 135.389 139.821 132.572 128.214 25.0871 26.3148 21.1624 21.3623 6.22622993818 7 3.64901 1.8212
141 403709 266.903 5.0 9.11753 268.57025 48 11.3504859625 7.54711640232 51.140421629 34.0596079826 13.4154334664 9468.54080246 2016-08-16-21:23:51 131.439 138.2 132.121 128.314 24.9588 24.2644 21.6448 21.2111 7.52486208486 3 3.13346 1.63653
154 404109 176.53 5.0 12.5596 176.5775 40 14.4102639698 9.32433656166 22.3018601537 37.1123373508 38.6492073536 9468.54098063 2016-08-16-21:23:51 129.65 141.541 132.746 128.753 23.6042 25.4818 22.2193 21.4016 13.2621155788 2 2.66444 1.40611
150 404025 372.048 3.0 9.20566 376.5325 14 9.4267618894 3.98773681115 32.6798528433 39.8914754391 22.9476630688 9468.54094321 2016-08-16-21:23:51 132.757 140.133 131.936 128.953 24.7446 25.6302 21.6511 21.1995 8.19700477168 4 2.30168 1.4957
162 402223 204.635 4.0 9.2899 200.94075 20 13.026192917 6.70987579729 60.1662695408 23.9786222577 6.448931247 9468.54014059 2016-08-16-21:23:51 127.664 136.375 131.461 130.155 26.945 24.2077 22.4826 21.3547 8.13159805425 4 2.73923 1.84124
180 405020 300.692 4.0 10.9974 295.41275 32 9.87861302764 1.8372010199 31.9220751524 61.4524066448 24.3514314294 9468.54138639 2016-08-16-21:23:51 147.377 143.919 133.067 128.882 28.168 25.1767 21.8127 21.4248 8.10265947081 7 2.83178 1.76673
177 405002 363.379 4.0 10.8544 361.33425 32 10.7334441757 6.37996334612 66.6452884674 39.2817884684 2.98644192517 9468.54137837 2016-08-16-21:23:51 144.408 144.041 133.543 130.021 26.7461 26.0806 21.4589 21.4653 3.83194223909 7 2.72151 1.7458
124 402883 823.753 5.0 9.34706 843.141 48 11.8878326397 1.71950556792 32.8332185745 42.3581123352 26.9227862358 9468.54043456 2016-08-16-21:23:51 134.722 135.104 130.035 128.342 27.2776 23.9898 21.3438 21.262 7.52834851017 6 3.61177 1.92739
273 402237 80.8605 3.0 9.29952 82.11375 12 9.38806899702 6.32178767063 48.1021523476 28.19660604 13.1362602115 9468.54014683 2016-08-16-21:23:51 124.969 130.672 130.476 125.847 28.0339 24.7291 24.7859 21.4442 6.64479021929 4 2.02393 1.27851
159 404381 823.753 3.0 9.93688 833.5575 16 11.0095882416 5.4064655304 38.3464902639 31.7961513996 4.0299128741 9468.54110178 2016-08-16-21:23:51 126.982 136.078 130.538 129.021 25.5914 25.1057 21.4385 21.2994 5.75538539886 7 1.94481 1.28752
60 430587 338.527 3.0 9.17107 334.6155 12 10.2981262125 6.71018492041 73.0161368847 4.72467131913 2.19597406685 9468.55277403 2016-08-16-21:23:51 136.156 129.406 128.787 128.158 33.1208 23.1296 20.5675 21.0787 4.53864850887 6 2.38272 1.79313
91 431274 254.416 3.0 9.87393 248.379 16 15.6399879456 7.93518543243 71.952611208 6.03782199323 6.08339011669 9468.55308003 2016-08-16-21:23:51 129.119 128.821 128.48 128.497 28.7974 22.3945 21.2238 21.2432 4.46027612686 5 2.20174 1.75693
126 433081 69.042 4.0 9.10164 66.7903 24 14.0376962069 10.7787194869 70.4484939575 2.44455393404 -0.137999013532 9468.55388488 2016-08-16-21:23:51 124.804 128.403 127.268 129.283 26.3492 21.8954 21.1712 21.3791 8.08792557688 3 2.4914 1.74862
245 437974 85.8749 4.0 10.7931 85.8975 28 17.3222725321 14.9845603057 73.4995245934 0.452524609864 3.15179415047 9468.55606424 2016-08-16-21:23:51 121.078 127.029 125.877 127.667 25.4574 21.7425 20.7067 20.9318 7.27410466504 4 2.48547 1.82853
341 415169 786.295 5.0 9.62257 804.807 48 15.6221278115 0.0 -1.47888297215 3.74879613519 63.7226581573 9468.54590679 2016-08-16-21:23:51 123.4 125.377 123.202 125.614 22.3514 21.8844 21.6254 21.1791 14.079795363 7 3.27437 1.96056
255 438107 338.527 4.0 9.01369 346.623 28 12.7696204976 11.0581707363 74.6275663376 6.89232498407 2.20629833639 9468.55612347 2016-08-16-21:23:51 118.747 126.966 126.454 126.522 24.7787 22.2564 20.9512 21.0895 5.69663026381 4 2.74956 1.95755
327 906791 73.6533 5.0 9.56896 74.2582 32 11.2080183643 8.16105477236 30.6626886129 38.3017271757 0.234391656704 9468.76487723 2016-08-16-21:23:51 128.667 123.288 128.292 127.633 22.1568 22.2362 20.3067 21.1723 8.70541065509 4 3.46487 1.69332
